text_id,url,source_slug,skip,original_slug,last_status,last_checked,comments
72,https://www.let.leidenuniv.nl/Dutch/Ceneton/BieFlorellus1671.html,ceneton:BieFlorellus1671,,,,,
73,https://www.let.leidenuniv.nl/Dutch/Ceneton/BiensPiramus1623.html,ceneton:BiensPiramus1623,,,,,
74,https://www.let.leidenuniv.nl/Dutch/Ceneton/BilderdijkDoodvanEdipus1789.html,ceneton:BilderdijkDoodvanEdipus1789,,,,,
75,https://www.let.leidenuniv.nl/Dutch/Ceneton/BilsenAlexiowitz1788.html,ceneton:BilsenAlexiowitz1788,,,,,
76,https://www.let.leidenuniv.nl/Dutch/Ceneton/BlasiusEdelmoedige1658.html,ceneton:BlasiusEdelmoedige1658,,,,,
77,https://www.let.leidenuniv.nl/Dutch/Ceneton/BlasiusMalleWedding1671.html,ceneton:BlasiusMalleWedding1671,,,,,
78,https://www.let.leidenuniv.nl/Dutch/Ceneton/BlasiusOroondate1670.html,ceneton:BlasiusOroondate1670,,,,,
79,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoddaertMacbeth1800a.html,ceneton:BoddaertMacbeth1800a,,,,,
80,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoelensGlasenDoctoor1663.html,ceneton:BoelensGlasenDoctoor1663,,,,,
81,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoelensTrouw1648.html,ceneton:BoelensTrouw1648,,,,,
82,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoelensVryer1649.html,ceneton:BoelensVryer1649,,,,,
83,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoelensVryer1672.html,ceneton:BoelensVryer1672,,,,,
84,https://www.let.leidenuniv.nl/Dutch/Ceneton/BoerCalfsvel1615ca.html,ceneton:BoerCalfsvel1615ca,,,,,
85,https://www.let.leidenuniv.nl/Dutch/Ceneton/BogaertAlexander1693.html,ceneton:BogaertAlexander1693,,,,,
86,https://www.let.leidenuniv.nl/Dutch/Ceneton/BogaertDroes1711a.html,ceneton:BogaertDroes1711a,,,,,
87,https://www.let.leidenuniv.nl/Dutch/Ceneton/BogaertDroes1711c.html,ceneton:BogaertDroes1711c,,,,,
